keys,en,ja,cn,tw,ptbr,es,kr,de,ru,pl,fr,ro,tr,esla
ACHIEVEMENT_TITLE_80,Tap to the beat,リズムに合わせて,,,Toque na batida,Toca con el ritmo,,Tippe zum Beat,Лови ритм,Pukaj w rytm,,Apasă pe ritm,Ritmi Hisset,Toca al ritmo
ACHIEVEMENT_DESC_80,Unlock the Rhythm Cursor,リズムカーソルをアンロックする,,,Desbloqueou o Cursor Rítmico,Desbloquea el Cursor Metrónomo,,Schalte den Rythmus Cursor frei,Разблокировать Ритмичный курсор,Odblokuj kursor rytmiczny,,Deblochează Rhythm Cursor,Ritim imlecini açtın.,Desbloquea el Cursor metrónomo
ACHIEVEMENT_TITLE_81,Violence is always the answer,力こそパワー,,,A violência é sempre a resposta,Violencia es siempre la respuesta,,Gewalt ist immer die Antwort,Насилие – это выход,Przemoc jest zawsze rozwiazaniem,,Violența e întotdeauna răspunsul,Şiddet Her Şeyi Çözer,La violencia siempre es la respuesta
ACHIEVEMENT_DESC_81,Unlock the Punching Cursor,パンチングカーソルをアンロック,,,Desbloqueou o Cursor de Soco,Desbloquea el Cursor de Boxeo,,Schalte den Prügel Cursor frei,Разблокировать Ударный курсор,Odblokuj kursor uderzający,,Deblochează Punching Cursor,Yumruk imlecini açtın.,Desbloquea el Cursor de boxeo
ACHIEVEMENT_TITLE_82,Slice and Dice,切り刻むでござる,,,Cortar e Fatiar,Arrastar y corta,,Schnetzeln!,Режь и кромсай,Cięcie i szatkowanie,,Taie și toacă,Cilala Parlat,Arrastar y corta
ACHIEVEMENT_DESC_82,Unlock the Ninja Cursor,ニンジャカーソルをアンロックする,,,Desbloqueou o Cursor Ninja,Desbloquea el Cursor Ninja,,Schalte den Ninja Cursor frei,Разблокировать Ниндзя-курсор,Odblokuj kursor ninja,,Deblochează Ninja Cursor,Ninja imlecini açtın.,Desbloquea el Cursor ninja
ACHIEVEMENT_TITLE_83,"Trust me, I'm an engineer",動けばヨシ！,,,"Pode confiar, eu sou engenheiro","Confía en mí, Yo soy un ingeniero",,"Vertrau mir Bro, ich bin Ingenieur ","Поверь мне, я инженер","Zaufaj mi, jestem inżynierem",,"Crede-mă, sunt inginer",AÇILIN! Ben Mühendisim.,"Confía en mí, soy ingeniero"
ACHIEVEMENT_DESC_83,Unlock the Mechanic Cursor,メカニックカーソルをアンロックする,,,Desbloqueou o Cursor Mecânico,Desbloquea el Cursor Mecánico,,Schalte den Mechanischen-Zeiger frei,Разблокировать Механический курсор,Odblokuj kursor mechaniczny,,Deblochează Mechanic Cursor,Mekanik imlecini açtın.,Desbloquea el Cursor mecánico
ACHIEVEMENT_TITLE_84,Let's go gambling!,大勝負といこう！,,,Bora de tigrinho!,Let's got gambling!,,Let’s go gambling!,Азарт зовет!,Chodźmy na automay,,Hai la noroc!,Hadi Kumar Oynayalım!,¡Vamos a apostar!
ACHIEVEMENT_DESC_84,Unlock the Gamble Cursor,ギャンブラーカーソルをアンロックする,,,Desbloqueou o Cursor Apostador,Desbloquea el Cursor Gambling,,Schalte den Glücksspiel Cursor frei,Разблокировать Азартный курсор,Odblokuj kursor hazadru,,Deblochează Gamble Cursor,Kumar imlecini açtın.,Desbloquea el Cursor de apuestas
ACHIEVEMENT_TITLE_85,"Reduce, Reuse, Recycle",3R,,,"Reduzir, reutilizar e reciclar","Reduce, Reusa, Recicla",,"Reduzieren, rezyklieren, recyceln","Сокращай, используй повторно, перерабатывай","Ograniczaj, Wykorzystaj Ponownie, Recyklinguj",,"Redu, Refolosește, Reciclează","Azalt, Yeniden Kullan, Geri Dönüştür","Reduce, reúsa y recicla"
ACHIEVEMENT_DESC_85,Unlock the Recycle Cursor,リサイクルカーソルをアンロックする,,,Desbloqueou o Cursor de Reciclagem,Desbloquea el Cursor de Reciclaje,,Schalte den Recycle Cursor frei,Разблокировать Перерабатывающий курсор,Odblokuj kursor recyklingu,,Deblochează Recycle Cursor,Geri dönüşüm imlecini açtın.,Desbloquea el Cursor de reciclaje
ACHIEVEMENT_TITLE_86,How to train your Trojan virus,トロイウイルスのしつけ方,,,Como Treinar o Seu Trojão,Como entrenar tu Virus Trojano,,Wie man seinen Trojaner trainiert,Как приручить Трояна,Jak wytrenować Trojana,,Cum să-ți dresezi virusul Trojan,Truva Virüsünü Eğitme Rehberi,Como entrenar a tu Virus trojano
ACHIEVEMENT_DESC_86,Unlock the Lasso Cursor,投げ縄カーソルをアンロックする,,,Desbloqueie o Cursor de Laço,Desbloquea el Cursor de Lazo,,Schalte den Lasso Cursor frei,Разблокировать Курсор-лассо,Odblokuj kursor lasso,,Deblochează Lasso Cursor,Kement imlecini açtın.,Desbloquea el Cursor de lazo
UNLOCK_TITLE_GENERIC_1,Unlocked {x}!,{x}がアンロックされた！,,,Desbloqueou {x}!,¡Desbloqueado {x}!,,{x} freigeschalten!,Разблокировано: {x}!,Odblokowano {x}!,,Ai deblocat {x}!,"Azalt, Yeniden Kullan, Geri Dönüştür",¡Desbloqueado {x}!
UNLOCK_CURSOR_1,Unlocked the Clicking Cursor!,クリックカーソルがアンロックされた！,解锁：点击鼠标！,解鎖：點擊滑鼠！,Desbloqueou o Cursor de Clique!,¡Desbloqueado el Cursor de Clicks!,,Klick Cursor freigeschalten!,Разблокирован Кликающий курсор!,Odblokowano kursor klikający!,,Ai deblocat Clicking Cursor!,Tıklayan imlecin kilidini açtın!,¡Desbloqueaste el Cursor de clics!
UNLOCK_CURSOR_2,Unlocked the Identifying Cursor!,検出カーソルがアンロックされた！,解锁：识别鼠标！,解鎖：識別滑鼠！,Desbloqueou o Cursor de Identificação!,¡Desbloqueado el Cursor de Identificación!,,Identifizier Cursor freigeschalten!,Разблокирован Курсор-идентификатор!,Odblokowano kursor identyfikujący!,,Ai deblocat Identifying Cursor!,Tanımlayan imlecin kilidini açtın!,¡Desbloqueaste el Cursor de identificación!
UNLOCK_CURSOR_3,Unlocked the Selection Cursor!,範囲選択カーソルがアンロックされた！,解锁：选择鼠标！,解鎖：選擇滑鼠！,Desbloqueou o Cursor de Seleção!,¡Desbloqueado el Cursor de Selección!,,Auswahl Cursor freigeschalten!,Разблокирован Курсор-выделитель!,Odblokowano kursor zaznaczający!,,Ai deblocat Selection Cursor!,Seçim imlecin kilidini açtın!,¡Desbloqueaste el Cursor de selección!
UNLOCK_WIDGET_1,Unlocked the Attack Widget!,攻撃ウィジェットがアンロックされた！,解锁：攻击力组件！,解鎖：攻擊力組件！,Desbloqueou o Widget de Ataque!,¡Desbloqueado el Widget de Ataque!,,Angriffs Widget freigeschalten!,Разблокирован Виджет атаки!,Odblokowano widżet ataku!,,Ai deblocat Attack Widget!,Saldırı widget'ının kilidini açtın!,¡Desbloqueaste el widget de ataque!
UNLOCK_WIDGET_2,Unlocked the Health Widget!,回復ウィジェットがアンロックされた！,解锁：生命组件！,解鎖：生命組件！,Desbloqueou o Widget de Vida!,¡Desbloqueado el Widget de Vida!,,Gesundheits Widget freigeschalten!,Разблокирован Виджет здоровья!,Odblokowano widżet życia!,,Ai deblocat Health Widget!,Sağlık widget'ının kilidini açtın!,¡Desbloqueaste el widget de vida!
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
